Text 1,Text 2,Label
"This is a test document.","This is a test document.",1
"This is a unique document.","This is a completely different document.",0
"The sun rises in the east and sets in the west.","The sun rises in the east and sets in the west.",1
"The cat is on the mat.","The mat has a cat on it.",1
"The quick brown fox jumps over the lazy dog.","A lazy dog is jumped over by the quick brown fox.",1
"The global economy is affected by many factors such as trade, inflation, and currency exchange rates.","Many factors like trade, inflation, and currency exchange rates affect the global economy.",1
"Technology has drastically changed the way we live, work, and communicate.","The way we live, work, and communicate has been drastically changed by technology.",1
"People who exercise regularly tend to live longer and healthier lives.","Regular exercise is linked to a longer and healthier life.",1
"The theory of evolution explains how species change over time.","Evolutionary theory describes how species evolve over time.",1
"Climate change is a global issue that requires immediate action.","Immediate action is required to address climate change, a global issue.",1
"Social media platforms like Facebook and Instagram have revolutionized communication.","Communication has been revolutionized by social media platforms such as Facebook and Instagram.",1
"My favorite food is pizza.","Pizza is my favorite food.",1
"The Eiffel Tower is located in Paris, France.","The Eiffel Tower is a famous landmark in Paris.",0
"A quick brown fox jumps over a lazy dog.","A quick brown fox leaps over a lazy dog.",0
"I enjoy reading books during my free time.","I love reading books whenever I get the chance.",0
"Education is the key to success.","Success is often attributed to the quality of education.",0
"The stock market can be volatile, especially in times of economic uncertainty.","During economic downturns, stock markets can experience high volatility.",0
"The government is working on measures to improve healthcare.","The government is taking steps to enhance healthcare services.",0
"Astronomy is the study of celestial bodies such as stars, planets, and galaxies.","Astronomy is concerned with the study of stars, planets, and galaxies.",0
"Pollution can have severe impacts on the environment, causing long-term harm.","Pollution harms the environment and can lead to lasting damage.",0
